id_fabricante;cnpj_fabricante;fabricante
Fab00289;02794555000188;COLOPLAST DO BRASIL LTDA.
Fab00290;60383338000100;EMBRAMED INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA.
Fab00291;60409075000152;NESTLE BRASIL LTDA.
Fab00292;33258401001177;INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA
Fab00293;17845667000198;BR HOMMED COMERCIO DE MATERIAIS MEDICOS LTDA
Fab00294;22575103000112;6B INVENT GERMANY INOX CE - BRASIL, IMPORTACAO E EXPORTACAO - EIRE
Fab00295;58268152000150;ABC INSTRUMENTOS CIRÚRGICOS
Fab00296;02814497000379;CIMED INDUSTRIA DE MEDICAMENTOS LTDA
Fab00297;61282661000141;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA
Fab00298;44734671000156;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
Fab00299;04162170000123;ESTRATTI VEGETALI FARMACIA E MANIPULACAO LTDA - ME
Fab00300;17602864000186;DELTA INDUSTRIA E COM. LTDA
Fab00301;23552212000187;ROCHE DIABETES CARE BRASIL LTDA
Fab00302;11433344000100;BIONATUS FARMA COMERCIO DE MEDICAMENTOS LTDA
Fab00303;07925705000169;AUROBINDO PHARMA PRODUTOS FARMACEUTICOS LIMITADA
Fab00304;33145194000172;LABORATORIO GROSS S A
Fab00305;03812429000171;POLYSUTURE INDUSTRIA E COMERCIO LTDA
Fab00306;12340717000161;POINT SUTURE DO BRASIL IND DE FIOS CIRURGICOS LTDA
Fab00307;54516661008005;JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA
Fab00308;37844479000152;BIOLINE FIOS CIRURGICOS LTDA
Fab00309;17979679000105;A L DALCIN PIRES DROGARIA
Fab00310;05035244000123;SUN FARMACEUTICA DO BRASIL LTDA
Fab00311;61455192000115;TRB PHARMA INDUSTRIA QUIMICA E FARMACEUTICA LTDA
