id_produto;codigo_br;descricao_catmat;generico;unidade_fornecimento;status_utilizacao
Pro00154;267772;PROPRANOLOL CLORIDRATO, DOSAGEM:40 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00155;267777;PARACETAMOL, DOSAGEM SOLUÇÃO ORAL:200 MG/ML, APRESENTAÇÃO:SOLUÇÃO ORAL;NÃO;FRASCO 15,00 ML    ;Utilizado
Pro00156;267778;PARACETAMOL, DOSAGEM COMPRIMIDO:500 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00157;267892;PANTOPRAZOL, DOSAGEM:40 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00158;267902;PENTOXIFILINA, DOSAGEM:400 MG, INDICAÇÃO:LIBERAÇÃO PROLONGADA;SIM;COMPRIMIDO         ;Utilizado
Pro00159;268069;CLORPROMAZINA, DOSAGEM:5 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 5,00 ML     ;Utilizado
Pro00160;268076;SULFATO DE MAGNÉSIO, CONCENTRAÇÃO:10%, USO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 10,00 ML    ;Utilizado
Pro00161;268080;ATORVASTATINA CÁLCICA, DOSAGEM:10 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00162;268083;AZATIOPRINA, CONCENTRAÇÃO:50 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00163;268107;GABAPENTINA, DOSAGEM:300 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00164;268123;LEVOTIROXINA SÓDICA, DOSAGEM:50 MCG;NÃO;COMPRIMIDO         ;Utilizado
Pro00165;268124;LEVOTIROXINA SÓDICA, DOSAGEM:25 MCG;SIM;COMPRIMIDO         ;Utilizado
Pro00166;268125;LEVOTIROXINA SÓDICA, DOSAGEM:100 MCG;SIM;COMPRIMIDO         ;Utilizado
Pro00167;268128;LEVOMEPROMAZINA, DOSAGEM:25 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00168;268129;LEVOMEPROMAZINA, DOSAGEM:100 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00169;268130;LEVOMEPROMAZINA, DOSAGEM:40 MG/ML, APRESENTAÇÃO:SOLUÇÃO ORAL;NÃO;FRASCO 20,00 ML    ;Utilizado
Pro00170;268160;OMEPRAZOL, CONCENTRAÇÃO:40 MG, USO:INJETÁVEL;NÃO;FRASCO-AMPOLA      ;Utilizado
Pro00171;268162;MICONAZOL NITRATO, DOSAGEM:2%, APRESENTAÇÃO:CREME VAGINAL;NÃO;BISNAGA 80,00 G    ;Utilizado
Pro00172;268214;ATROPINA SULFATO, DOSAGEM:0,25 MG/ML, USO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 1,00 ML     ;Utilizado
Pro00173;268222;BICARBONATO DE SÓDIO, DOSAGEM:8,4%, USO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 10,00 ML    ;Utilizado
Pro00174;268236;CLORETO DE SÓDIO, PRINCÍPIO ATIVO:0,9%_ SOLUÇÃO INJETÁVEL, APLICAÇÃO:SISTEMA FECHADO;NÃO;AMPOLA 10,00 ML    ;Utilizado
Pro00175;268236;CLORETO DE SÓDIO, PRINCÍPIO ATIVO:0,9%_ SOLUÇÃO INJETÁVEL, APLICAÇÃO:SISTEMA FECHADO;NÃO;BOLSA 100,00 ML    ;Utilizado
Pro00176;268252;DIPIRONA SÓDICA, DOSAGEM:500 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 2,00 ML     ;Utilizado
