id_instituicao;cnpj_instituicao;nome_instituicao;municipio_instituicao;uf
Ins00191;09457349000121;FUNDO MUNICIPAL DE SAUDE DE INAJA PARANA;INAJA;PR
Ins00192;14231159000121;FUNDO MUNICIPAL DE SAUDE PREFEITURA DE SEVERIANO MELO/RN;SEVERIANO MELO;RN
Ins00193;88150495000186;MUNICIPIO DE ESTEIO;ESTEIO;RS
Ins00194;08942211000155;MUNICIPIO DE SANTANA DOS GARROTES;SANTANA DOS GARROTES;PB
Ins00195;08851627000168;FUNDO MUNICIPAL DE SAUDE;BELEM DE MARIA;PE
Ins00196;18308734000106;MUNICIPIO DE SAO SEBASTIAO DO OESTE;SAO SEBASTIAO DO OESTE;MG
Ins00197;07851282000180;FUNDO MUNICIPAL DE SAUDE;ROLIM DE MOURA;RO
Ins00198;75687954000113;MUNICIPIO DE PAULA FREITAS;PAULA FREITAS;PR
Ins00199;12802079000153;FUNDO MUNICIPAL DE SAUDE DE ISAIAS COELHO;ISAIAS COELHO;PI
Ins00200;08889455000111;FUNDO MUNICIPAL DE SAUDE DE DOIS VIZINHOS;DOIS VIZINHOS;PR
Ins00201;09535844000101;FUNDO MUNICIPAL DE SAUDE DE GRANDES RIOS;GRANDES RIOS;PR
Ins00202;11490408000105;FUNDO MUNICIPAL DE SAUDE;ALHANDRA;PB
Ins00203;19275776000142;FUNDO MUNICIPAL DE SAUDE;COLORADO DO OESTE;RO
Ins00204;95583571000102;MUNICIPIO DE MARIPA;MARIPA;PR
Ins00205;46523262000131;MUNICIPIO DE GUARAREMA;GUARAREMA;SP
Ins00206;11386903000179;FUNDO MUNICIPAL DE SAUDE;MONDAI;SC
Ins00207;13781828000176;MUNICIPIO DE IBITIARA;IBITIARA;BA
Ins00208;13877281000107;FUNDO MUNICIPAL DE SAUDE DE TEIXEIRPOLIS;TEIXEIROPOLIS;RO
Ins00209;04128655000109;FUNDO MUNICIPAL DE SAUDE DE PRIMAVERA DE RONDONIA;PRIMAVERA DE RONDONIA;RO
Ins00210;09472866000170;FUNDO MUNICIPAL DE SAUDE DO M UNICIPIO DE NOVA AURORA;NOVA AURORA;PR
Ins00211;03273207000128;CONSORCIO INTERGESTORES PARANA SAUDE;CURITIBA;PR
Ins00212;11334929000173;FUNDO MUNICIPAL DE SAUDE DA GAMELEIRA;GAMELEIRA;PE
Ins00213;10539832000134;FUNDO MUNICIPAL DE SAUDE DE GUADALUPE;GUADALUPE;PI
Ins00214;09280202000109;FUNDO MUNICIPAL DE SAUDE - MAUA DA SERRA;MAUA DA SERRA;PR
Ins00215;11588202000112;FUNDO MUNICIPAL DE SAUDE DE SERRA GRANDE;SERRA GRANDE;PB
Ins00216;46694139000183;MUNICIPIO DE JACAREI;JACAREI;SP
Ins00217;78956513000168;AUTARQUIA MUNICIPAL DE SAUDE DE APUCARANA A M S;APUCARANA;PR
Ins00218;76244961000103;MUNICIPIO DE IBIPORA;IBIPORA;PR
Ins00219;11095923000190;FUNDO MUNICIPAL DE SAUDE;INOCENCIA;MS
Ins00220;44518504000173;MUNICIPIO DE LUCIANOPOLIS;LUCIANOPOLIS;SP
